person	abstract	name
http://dbpedia.org/resource/Adam_Christopher	"""Adam Christopher McGechan (born 2 February 1978 in Auckland, New Zealand), who writes under the name Adam Christopher, is a New Zealand novelist. In 2006, he moved from New Zealand to North West England, where he lives with his wife."""	Adam Christopher
http://dbpedia.org/resource/Adam_Firestorm	"""Adam T. Dykes (November 25, 1976 Ð November 5, 2009) was a New Zealand-Canadian professional wrestler, known by his ring name Adam Firestorm, who competed in North American independent promotions in the Pacific Northwest and Western Canada during the late 1990s and early 2000s, most notably as a mainstay of Extreme Canadian Championship Wrestling. Several of his most memorable matches include top Canadian independent wrestlers such as ""Rocket"" Randy Tyler, Dr. Luther, Chance Beckett, ""Tornado"" Tony Kozina, ""Fallen Angel"" Christopher Daniels, Bryan Danielson, Bryan Alvarez, Asian Cougar and Juggernaut. In addition to ECCW, he competed for Portland Wrestling, Can Am Wrestling Federation, Stampede Wrestling, Prairie Wrestling Alliance, Pacific Northwest Championship Wrestling, Canadian All Pro Wrestling, W.H.I.P. Wrestling, Bad Boys of Wrestling, and the Continental Association of Wrestling."""	Adam Firestorm
http://dbpedia.org/resource/Adam_Firestorm	"""Adam T. Dykes (November 25, 1976 Ð November 5, 2009) was a New Zealand-Canadian professional wrestler, known by his ring name Adam Firestorm, who competed in North American independent promotions in the Pacific Northwest and Western Canada during the late 1990s and early 2000s, most notably as a mainstay of Extreme Canadian Championship Wrestling. Several of his most memorable matches include top Canadian independent wrestlers such as ""Rocket"" Randy Tyler, Dr. Luther, Chance Beckett, ""Tornado"" Tony Kozina, ""Fallen Angel"" Christopher Daniels, Bryan Danielson, Bryan Alvarez, Asian Cougar and Juggernaut. In addition to ECCW, he competed for Portland Wrestling, Can Am Wrestling Federation, Stampede Wrestling, Prairie Wrestling Alliance, Pacific Northwest Championship Wrestling, Canadian All Pro Wrestling, W.H.I.P. Wrestling, Bad Boys of Wrestling, and the Continental Association of Wrestling."""	El Antorcha
http://dbpedia.org/resource/Adam_Firestorm	"""Adam T. Dykes (November 25, 1976 Ð November 5, 2009) was a New Zealand-Canadian professional wrestler, known by his ring name Adam Firestorm, who competed in North American independent promotions in the Pacific Northwest and Western Canada during the late 1990s and early 2000s, most notably as a mainstay of Extreme Canadian Championship Wrestling. Several of his most memorable matches include top Canadian independent wrestlers such as ""Rocket"" Randy Tyler, Dr. Luther, Chance Beckett, ""Tornado"" Tony Kozina, ""Fallen Angel"" Christopher Daniels, Bryan Danielson, Bryan Alvarez, Asian Cougar and Juggernaut. In addition to ECCW, he competed for Portland Wrestling, Can Am Wrestling Federation, Stampede Wrestling, Prairie Wrestling Alliance, Pacific Northwest Championship Wrestling, Canadian All Pro Wrestling, W.H.I.P. Wrestling, Bad Boys of Wrestling, and the Continental Association of Wrestling."""	Torch
http://dbpedia.org/resource/Adam_Hall_(alpine_skier)	"""Adam J. Hall MNZM (born in Dunedin on 9 October 1987) is a New Zealand alpine skier and Paralympic gold medalist. He competed for New Zealand at the 2006 Winter Paralympics, where he placed 41st in the men's downhill event, 43rd in the men's giant slalom and 50th in the men's Super-G, standing At the 2010 Winter Paralympic Games, he won a gold medal at the men's slalom event, standing. He placed 8th in the men's super combined and 7th in the men's Super-G, standing. Hall was made a Member of the New Zealand Order of Merit in the 2011 Queen's Birthday Honours, for services to sport."""	Adam Hall
http://dbpedia.org/resource/Adam_Highfield	"""Adam Highfield (born 1 March 1981) is a New Zealand football goalkeeper. He currently plays for Canterbury United. Highfield played for Finnish side FC Jokerit, and later for Atlantis FC before returning to New Zealand in 2006 to sign for Canterbury United of the New Zealand Football Championship. Highfield represented New Zealand at under 20 level."""	Adam Highfield
http://dbpedia.org/resource/Adam_McGeorge	"""Adam McGeorge (born 30 March 1989) is a New Zealand footballer who plays as a midfielder for Auckland City in the New Zealand Football Championship."""	Adam McGeorge
http://dbpedia.org/resource/Adam_Parore	"""Adam Craig Parore (born 23 January 1971) is a former wicket-keeper and batsman for the New Zealand cricket team. He played 78 Test cricket matches for New Zealand and 179 One Day International cricket matches. Latterly, Parore is the managing director of financial services firm Adam Parore Mortgages."""	Adam Craig Parore
http://dbpedia.org/resource/Adam_Parore	"""Adam Craig Parore (born 23 January 1971) is a former wicket-keeper and batsman for the New Zealand cricket team. He played 78 Test cricket matches for New Zealand and 179 One Day International cricket matches. Latterly, Parore is the managing director of financial services firm Adam Parore Mortgages."""	Adam Parore
http://dbpedia.org/resource/Adam_Thomas_(footballer)	"""Adam Thomas (born 1 April 1992) is a New Zealand footballer who plays as a midfielder for Team Wellington in the New Zealand Football Championship. He represented New Zealand at the 2012 Summer Olympics"""	Adam Thomas
http://dbpedia.org/resource/Adrienne_Kennaway	"""Adrienne Kennaway (born 1945, New Zealand) is an illustrator and writer of children's picture books. She won the 1987 Kate Greenaway Medal from the Library Association, recognising the year's best children's book illustration by a British subject."""	Adrienne Kennaway
http://dbpedia.org/resource/Agnes_Ell	"""Agnes Elizabeth Ell (married name Hurcomb, 19 January 1917 Ð 30 July 2003) was a New Zealand cricketer. She played in one Test match in 1935. She was the sister of cricketer Jimmy Ell."""	Agnes Ell
http://dbpedia.org/resource/Aidan_Burley	"""Aidan Burley (born 22 January 1979) is a British politician. He was Member of Parliament for Cannock Chase, elected in 2010 on a large vote swing away from the Labour Party candidate. Burley stepped down in 2015."""	Aidan Burley
http://dbpedia.org/resource/Alan_Bollard	"""Alan Esmond Bollard CNZM (born 1951) is the Executive Director of Asia Pacific Economic Cooperation (APEC) Secretariat for the period of 2013-2015. He fully assumed the role on 1 January 2013, which was also the official commencement of Indonesian APEC year of 2013. He was previously the Governor of the Reserve Bank of New Zealand, having been appointed on 23 September 2002. He succeeded Donald Brash in this role. His earlier public service included four years as Secretary to the Treasury (1998Ð2002), and time as head of the Commerce Commission (1994Ð1998). He headed the New Zealand Institute of Economic Research (1987Ð1994) and has edited or written at least three books about economic reform in New Zealand. He gained a PhD in Economics from the University of Auckland in 1977 and was awarded an honorary Doctor of Laws by the same university in 2007. Bollard was named a Companion of the New Zealand Order of Merit in the 2013 New Year's Honours, for his services to the State. Bollard was born in Auckland, the son of scientist Ted Bollard. He is married to venture capitalist Jenny Morel."""	Alan Bollard
http://dbpedia.org/resource/Alan_Bolton_(darts_player)	"""Alan Bolton is a New Zealand darts player. Bolton won the 2007 New Zealand National Championships and won himself a place in the 2008 PDC World Darts Championship. He was beaten 5-0 in the Preliminary Round by Erwin Extercatte. He is notable for being a 19s player."""	Alan Bolton
http://dbpedia.org/resource/Alan_Brash	"""Alan Anderson Brash OBE (1913Ð2002) was a leading minister of the Presbyterian Church of Aotearoa New Zealand, and of the worldwide ecumenical movement. He was the son of notable Presbyterian lay leader Thomas Brash, and the father of National party opposition leader and Governor of the Reserve Bank, Don Brash."""	Alan Brash
http://dbpedia.org/resource/Alan_Brough	"""Alan Brough (b. Hawera, New Zealand 1967) is a New Zealand-born actor, television and radio host and comedian based in Australia."""	Alan Brough
http://dbpedia.org/resource/Alan_Burgess_(cricketer)	"""Alan Thomas Burgess (born 1 May 1920, Christchurch, New Zealand) is a former New Zealand cricketer who played first-class cricket for Canterbury from 1940 to 1952. In his first first-class match in December 1940 he played as a bowler, taking 6 for 52 and 3 for 51 with his left-arm spin against Otago. Later that season he batted as high as number seven, scoring 61 not out against Wellington. After the war ended in Europe he played as a batsman. He toured England with the New Zealand Services team from July to September 1945, making another score of 61 not out in the only first-class match. In nine matches between 1945-46 and 1951-52 his top score was 42 against Auckland in 1950-51, when he put on 105 for the first wicket with Ray Emery."""	Alan Burgess
http://dbpedia.org/resource/Alan_Burgess_(cricketer)	"""Alan Thomas Burgess (born 1 May 1920, Christchurch, New Zealand) is a former New Zealand cricketer who played first-class cricket for Canterbury from 1940 to 1952. In his first first-class match in December 1940 he played as a bowler, taking 6 for 52 and 3 for 51 with his left-arm spin against Otago. Later that season he batted as high as number seven, scoring 61 not out against Wellington. After the war ended in Europe he played as a batsman. He toured England with the New Zealand Services team from July to September 1945, making another score of 61 not out in the only first-class match. In nine matches between 1945-46 and 1951-52 his top score was 42 against Auckland in 1950-51, when he put on 105 for the first wicket with Ray Emery."""	Alan Thomas Burgess
http://dbpedia.org/resource/Alan_Dale	"""Alan Hugh Dale (born 6 May 1947) is a New Zealand-born Australian actor. As a child, Dale developed a love of theatre and also became a rugby player. After retiring from the sport, he took on a number of professions to support his family, before deciding to become a professional actor at age 27. With work limited in New Zealand, Dale moved to Australia, where he played Dr. John Forrest in The Young Doctors from 1979 to 1982. He later appeared as Jim Robinson in Neighbours, a part he played from 1985 until 1993. He left the series when he fell out with the producers over the pay he and the rest of the cast received. After leaving Neighbours, Dale found he had become typecast as Robinson in Australia and struggled to find work. His career was revitalised after he relocated to the United States in 2000. Since then, he has had roles in many American series including prominent parts in The O.C. (as Caleb Nichol) and Ugly Betty (as Bradford Meade), as well as recurring and guest roles in Lost, 24, NCIS, ER, The West Wing, The X-Files, Entourage and Once Upon a Time. Dale has also appeared in minor roles in films such as Star Trek Nemesis, Hollywood Homicide, Indiana Jones and the Kingdom of the Crystal Skull and The Girl with the Dragon Tattoo, as well as the London West End production of Spamalot. Dale has been married to former Miss Australia Tracey Pearson since 1990 and has four children."""	Alan Dale
http://dbpedia.org/resource/Alan_MacDiarmid	"""Alan Graham MacDiarmid, ONZ FRS (14 April 1927 Ð 7 February 2007) was a New Zealand-born American chemist, and one of three recipients of the Nobel Prize for Chemistry in 2000."""	Alan MacDiarmid
http://dbpedia.org/resource/Alan_McIntyre	"""Alan McIntyre (born 20 September 1949 in Wanganui) is a former field hockey player from New Zealand, who was a member of the national team that won the golden medal at the 1976 Summer Olympics in Montreal."""	Alan McIntyre
http://dbpedia.org/resource/Alan_Preston	"""Alan Herbert Preston (29 October 1932 Ð 2 September 2004) was a New Zealand football (soccer) player and cricketer who represented the New Zealand national football team and played 38 first-class matches for Wellington and two for the North Island."""	Alan Herbert Preston
http://dbpedia.org/resource/Alan_Preston	"""Alan Herbert Preston (29 October 1932 Ð 2 September 2004) was a New Zealand football (soccer) player and cricketer who represented the New Zealand national football team and played 38 first-class matches for Wellington and two for the North Island."""	Alan Preston
http://dbpedia.org/resource/Alan_Rowe	"""Alan Rowe (14 December 1926 Ð 21 October 2000) was a New Zealand-born English actor, perhaps best known for his appearances on the British science fiction programme Doctor Who."""	Alan Rowe
http://dbpedia.org/resource/Alan_Stroud	"""Alan Stroud is a former football (soccer) goalkeeper who represented New Zealand at international level. Stroud played three official A-international matches for New Zealand between 1986 and 1995, the first two against Fiji, a 2-1 win on 19 September 1986, and a 0-1 loss two years later on a 2-1 win on 19 November 1988. Generally second or third choice keeper for the national side, Stroud did not earn his third full international start until seven years later, a 2-3 loss to Paraguay on 22 June 1995."""	Alan J Stroud
http://dbpedia.org/resource/Alan_Stroud	"""Alan Stroud is a former football (soccer) goalkeeper who represented New Zealand at international level. Stroud played three official A-international matches for New Zealand between 1986 and 1995, the first two against Fiji, a 2-1 win on 19 September 1986, and a 0-1 loss two years later on a 2-1 win on 19 November 1988. Generally second or third choice keeper for the national side, Stroud did not earn his third full international start until seven years later, a 2-3 loss to Paraguay on 22 June 1995."""	Alan Stroud
http://dbpedia.org/resource/Alan_Westerman	"""Sir Wilfred Alan ""Alan"" Westerman CBE (25 March 1913 Ð 18 May 2001) was a senior Australian public servant and policymaker."""	Alan Westerman
http://dbpedia.org/resource/Alan_Westerman	"""Sir Wilfred Alan ""Alan"" Westerman CBE (25 March 1913 Ð 18 May 2001) was a senior Australian public servant and policymaker."""	Sir Alan Westerman
http://dbpedia.org/resource/Alan_Wilkinson_(footballer)	"""Alan Wilkinson (7 August 1924 Ð 12 March 2015) was a New Zealand football (soccer) player who represented his country at international level. Wilkinson made a single appearance in an official international for New Zealand in a 0Ð6 loss to South Africa on 5 July 1947."""	Alan Wilkinson
http://dbpedia.org/resource/Alastair_Riddell	"""Alistair Riddell is a New Zealand singer with a glam rock image who fronted the group Space Waltz. They had a no 1 hit in New Zealand with ""Out On The Street""."""	Alastair Riddell
http://dbpedia.org/resource/Albert_Jelley	"""Albert Jelley (5 March 1894 Ð 16 May 1966) was a New Zealand cricket umpire. He stood in one Test match, New Zealand vs. West Indies, in 1956. His father Albert Edward Jelley sr was also a senior cricket umpire around 1900, and his grand-daughter Denise represented New Zealand."""	Albert Edward Jelley
http://dbpedia.org/resource/Albert_Jelley	"""Albert Jelley (5 March 1894 Ð 16 May 1966) was a New Zealand cricket umpire. He stood in one Test match, New Zealand vs. West Indies, in 1956. His father Albert Edward Jelley sr was also a senior cricket umpire around 1900, and his grand-daughter Denise represented New Zealand."""	Albert Jelley
http://dbpedia.org/resource/Alec_Astle	"""Alec Morrison Astle (born 5 August 1949) is a former New Zealand cricketer who played two first-class matches for the Central Districts Stags in the 1978Ð79 and he also played for Manawatu in the Hawke Cup. He was born in Feilding. He is the father of Todd Astle. Astle has served as national development manager for New Zealand Cricket and was a long serving and influential staff member and Deputy Rector of Palmerston North Boys' High School."""	Alec Astle
http://dbpedia.org/resource/Alec_Astle	"""Alec Morrison Astle (born 5 August 1949) is a former New Zealand cricketer who played two first-class matches for the Central Districts Stags in the 1978Ð79 and he also played for Manawatu in the Hawke Cup. He was born in Feilding. He is the father of Todd Astle. Astle has served as national development manager for New Zealand Cricket and was a long serving and influential staff member and Deputy Rector of Palmerston North Boys' High School."""	Alec Morrison Astle
http://dbpedia.org/resource/Alec_Monteith	"""Alexander Lamont (Alec) Monteith (15 December 1886 Ð 24 November 1972) was a New Zealand Member of Parliament for the Labour Party and a trade unionist."""	Alec Monteith
http://dbpedia.org/resource/Alex_Davis	"""Alex Davis is a former association football player who represented New Zealand at international level. Davis played three official A-international matches for New Zealand in 1952, the first a 2-0 win over Pacific neighbours Fiji on 7 September. His other two official appearances were a 2-2 draw and a 5-3 win over Tahiti on 21 September and 28 September 1952 respectively."""	Alex Davis
http://dbpedia.org/resource/Alex_Davis	"""Alex Davis is a former association football player who represented New Zealand at international level. Davis played three official A-international matches for New Zealand in 1952, the first a 2-0 win over Pacific neighbours Fiji on 7 September. His other two official appearances were a 2-2 draw and a 5-3 win over Tahiti on 21 September and 28 September 1952 respectively."""	Alex Davis AKA Dave
http://dbpedia.org/resource/Alex_Feneridis	"""Alex Feneridis is a New Zealand football player who plays for Team Wellington. Feneridis started his career with Auckland City, playing there for 8 years.In September 2014, Feneridis opted to leave Auckland City and join Team Wellington."""	Alex Feneridis
http://dbpedia.org/resource/Alex_Frame	"""Alex Frame (born 18 June 1993) is a New Zealand professional racing cyclist. He rode at the 2015 UCI Track Cycling World Championships, winning gold in the team pursuit."""	Alex Frame
http://dbpedia.org/resource/Alex_Greenwich	"""Alexander Hart ""Alex"" Greenwich (Born. 27 November 1980) is the member of the New South Wales Legislative Assembly seat of Sydney since the 2012 Sydney by-election. He ran as an independent and was backed by his predecessor, independent Clover Moore."""	Alex Greenwich
http://dbpedia.org/resource/Alex_Laing	"""Alex Laing is a former association football goalkeeper who represented New Zealand at international level. Laing made a solitary official international appearance for New Zealand in a 0-4 loss to Australia on 4 September 1948."""	Alex Laing
http://dbpedia.org/resource/Alex_McGregor_(Cook_Island_footballer)	"""Alex McGregor (born 27 August 1987) is a New Zealand born footballer with heritage from the Cook Islands. He plays as a midfielder for Eastern Suburbs in the New Zealand Northern League. He played for the Cook Islands during the 2018 FIFA World Cup qualifiers."""	Alex McGregor
http://dbpedia.org/resource/Alex_Metzger_(footballer)	"""Alex Metzger is a former association football player who represented New Zealand at international level. Metzger made his full All Whites debut in a 6Ð0 win over Fiji on 29 June 1979  and ended his international playing career with 10 A-international caps and 1 goal to his credit, his final cap an appearance in a 0Ð1 loss to Bahrain on 4 April 1984.Daughter Hannah Metzger is also a sport champion from winning cross country to going to the world champs for trampolining. Sport runs in the family"""	Alex Metzger
http://dbpedia.org/resource/Alex_Metzger_(footballer)	"""Alex Metzger is a former association football player who represented New Zealand at international level. Metzger made his full All Whites debut in a 6Ð0 win over Fiji on 29 June 1979  and ended his international playing career with 10 A-international caps and 1 goal to his credit, his final cap an appearance in a 0Ð1 loss to Bahrain on 4 April 1984.Daughter Hannah Metzger is also a sport champion from winning cross country to going to the world champs for trampolining. Sport runs in the family"""	Alexander J Metzger
http://dbpedia.org/resource/Alex_O'Dowd	"""Alexander Patrick O'Dowd (born 25 February 1967) is a Professional First Class Rugby Coach and former New Zealand First Class cricketer. He has coached North Harbour Rugby Union Mitre 10 Cup side for 3 seasons and is currently Assistant Coach with Nottingham Rugby Club in the English Championship. A right-handed batsman, O'Dowd made 17 appearances in first-class cricket, 14 of them for Auckland between 1991 and the end of 1993 and three more for Northern Districts in 1996-97. He also Captained Auckland in one-day and 4-day first class cricket and played List A cricket for the same teams. O'Dowd scored his only century in his second match; hitting 113 against Canterbury in 1992. He also briefly served as Auckland's captain. O'Dowd's son, Max O'Dowd, also plays cricket, and, by virtue of holding a Dutch passport, made his debut for the Dutch national side in 2015."""	Alex O'Dowd
http://dbpedia.org/resource/Alex_O'Dowd	"""Alexander Patrick O'Dowd (born 25 February 1967) is a Professional First Class Rugby Coach and former New Zealand First Class cricketer. He has coached North Harbour Rugby Union Mitre 10 Cup side for 3 seasons and is currently Assistant Coach with Nottingham Rugby Club in the English Championship. A right-handed batsman, O'Dowd made 17 appearances in first-class cricket, 14 of them for Auckland between 1991 and the end of 1993 and three more for Northern Districts in 1996-97. He also Captained Auckland in one-day and 4-day first class cricket and played List A cricket for the same teams. O'Dowd scored his only century in his second match; hitting 113 against Canterbury in 1992. He also briefly served as Auckland's captain. O'Dowd's son, Max O'Dowd, also plays cricket, and, by virtue of holding a Dutch passport, made his debut for the Dutch national side in 2015."""	Alexander Patrick O'Dowd
http://dbpedia.org/resource/Alex_Smith_(New_Zealand_footballer)	"""Alex Smith is a former football (soccer) player who represented New Zealand at international level. Smith made a solitary official international appearance for New Zealand in a 0-0 draw with Iran on 12 August 1973."""	Alex Smith
http://dbpedia.org/resource/Alex_Sutherland	"""Alex Sutherland is a former football (soccer) player who represented New Zealand at international level. Sutherland made a single appearance in an official international for the All Whites in a 1-10 loss to Australia on 11 July 1936. Although New Zealand have been beaten by more in unofficial matches, notably England Amateurs in 1937 and Manchester United in 1967, it remains New Zealand's heaviest defeat in official internationals."""	Alex Sutherland
http://dbpedia.org/resource/Alexander_Aitken	"""Alexander Craig ""Alec"" Aitken FRS FRSE FRSL FRSNZ (1 April 1895 Ð 3 November 1967) was one of New Zealand's greatest mathematicians. In a 1935 paper he introduced the concept of generalized least squares, along with now standard vector/matrix notation for the linear regression model. Another influential paper co-authored with his student Harold Silverstone established the lower bound on the variance of an estimator, now known as CramŽrÐRao bound."""	Alexander Aitken
http://dbpedia.org/resource/Alexander_Aitken	"""Alexander Craig ""Alec"" Aitken FRS FRSE FRSL FRSNZ (1 April 1895 Ð 3 November 1967) was one of New Zealand's greatest mathematicians. In a 1935 paper he introduced the concept of generalized least squares, along with now standard vector/matrix notation for the linear regression model. Another influential paper co-authored with his student Harold Silverstone established the lower bound on the variance of an estimator, now known as CramŽrÐRao bound."""	Alexander C. Aitken
http://dbpedia.org/resource/Alexander_William_Bickerton	"""Professor Alexander William Bickerton (7 January 1842 Ð 21 January 1929) was the first professor of Chemistry at Canterbury College (now called the University of Canterbury) in Christchurch, New Zealand. He is best known for teaching and mentoring Ernest Rutherford. He was a natural teacher though an eccentric one, who taught science in an exciting way. His differences weren't limited to teaching as he formed a socialist community in Christchurch, which he later set up as a theme park. His partial impact theory explaining the appearance of temporary stars was the major work of his lifetime."""	Alexander William Bickerton
http://dbpedia.org/resource/Alexis_Hunter	"""Alexis Jan Atthill Hunter (4 November 1948 Ð 24 February 2014) was a contemporary New Zealand painter and photographer, who used feminist theory in her work. She lived in London. Hunter was also a member of Stuckism."""	Alexis Hunter
http://dbpedia.org/resource/Alf_Smith_(New_Zealand_footballer)	"""Alfred L. Smith is a former football (soccer) goalkeeper who represented New Zealand at international level. Smith appeared twice in official internationals for the New Zealand, the first being a 0-10 loss to Australia on 11 July 1936, which still stands as New Zealand's biggest loss in official matches, although New Zealand have been beaten by more in unofficial matches, notably England Amateurs in 1937 and Manchester United in 1967. His team fared better in his second match, losing 1-4 on 18 July 1936, their best result of Australia's three match tour of New Zealand."""	Alf Smith
http://dbpedia.org/resource/Alf_Smith_(New_Zealand_footballer)	"""Alfred L. Smith is a former football (soccer) goalkeeper who represented New Zealand at international level. Smith appeared twice in official internationals for the New Zealand, the first being a 0-10 loss to Australia on 11 July 1936, which still stands as New Zealand's biggest loss in official matches, although New Zealand have been beaten by more in unofficial matches, notably England Amateurs in 1937 and Manchester United in 1967. His team fared better in his second match, losing 1-4 on 18 July 1936, their best result of Australia's three match tour of New Zealand."""	Alfred L. Smith
http://dbpedia.org/resource/Alfred_Brandon_(mayor)	"""Alfred de Bathe Brandon (12 December 1854 - 30 July 1938) was the Mayor of Wellington, New Zealand in 1894. Brandon was the son of Member of Parliament Alfred Brandon. He married Louisa Kebbell, the second daughter of Thomas Kebbell, an early Wellington pioneer, in 1879. They had three sons and three daughters. Brandon was one of the first eight boys who enrolled at Wellington College when it first opened. In 1872 he was granted one of the first scholarships to the University of New Zealand. In 1875 he attended Trinity Hall, Cambridge, England and obtained a Bachelor of Arts in 1878. Brandon was admitted to the Bar at Middle Temple. On his return to New Zealand he was admitted as a barristor and solicitor to the Supreme Court. Brandon joined his father's law firm eventually becoming a senior partner in the law firm Brandon, Ward, Hislop, and Powles. He also became President of the Wellington District Law Society. In August 1888 Brandon was appointed a Director of the Australian Mutual Provident Society. He became its Deputy Chairman in May 1903 and Chairman in 1918. A position he held until he retired on 31 May 1934. His father had been a Director of the Society from 1871 to 1886. Brandon was also a long serving member of the Wellington Chamber of Commerce having joined in 1872. He was on its executive for 11 years and President in 1882, 1897 and 1898. In April 1929 he was elected a life member. Brandon was also a Board member of the Gear Meat and Freezing Company until he retired in September 1935 due to ill health. In September 1886 he was elected as a City Councillor for the Thorndon Ward. A position he held until January 1891. In 1894 he was Mayor of Wellington and a member of the Wellington Harbour Board. His son of the same name, Alfred de Bathe Brandon, was a notable lawyer and aviator. Brandon died in Wellington on 30 July 1938."""	Alfred Brandon
http://dbpedia.org/resource/Alfred_Brandon_(mayor)	"""Alfred de Bathe Brandon (12 December 1854 - 30 July 1938) was the Mayor of Wellington, New Zealand in 1894. Brandon was the son of Member of Parliament Alfred Brandon. He married Louisa Kebbell, the second daughter of Thomas Kebbell, an early Wellington pioneer, in 1879. They had three sons and three daughters. Brandon was one of the first eight boys who enrolled at Wellington College when it first opened. In 1872 he was granted one of the first scholarships to the University of New Zealand. In 1875 he attended Trinity Hall, Cambridge, England and obtained a Bachelor of Arts in 1878. Brandon was admitted to the Bar at Middle Temple. On his return to New Zealand he was admitted as a barristor and solicitor to the Supreme Court. Brandon joined his father's law firm eventually becoming a senior partner in the law firm Brandon, Ward, Hislop, and Powles. He also became President of the Wellington District Law Society. In August 1888 Brandon was appointed a Director of the Australian Mutual Provident Society. He became its Deputy Chairman in May 1903 and Chairman in 1918. A position he held until he retired on 31 May 1934. His father had been a Director of the Society from 1871 to 1886. Brandon was also a long serving member of the Wellington Chamber of Commerce having joined in 1872. He was on its executive for 11 years and President in 1882, 1897 and 1898. In April 1929 he was elected a life member. Brandon was also a Board member of the Gear Meat and Freezing Company until he retired in September 1935 due to ill health. In September 1886 he was elected as a City Councillor for the Thorndon Ward. A position he held until January 1891. In 1894 he was Mayor of Wellington and a member of the Wellington Harbour Board. His son of the same name, Alfred de Bathe Brandon, was a notable lawyer and aviator. Brandon died in Wellington on 30 July 1938."""	Alfred de Bathe Brandon
